study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,3,3,0,,,_o_rd,Board,old,board,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.1950606000000334],['text_3'],,,,,0,3,3,10,19.2325857,,,,,,,,19.2211533,19.2325857,19.2325857,19.2325857,0.0037377,22.4171547,board,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.1950606000000334],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,4,4,0,,,P_as_tr_,Pastry,old,pastry,[-0.03125],[-0.2942708333333333],[1],[0],[0],[7.877331300000151],['text_3'],,,,,0,4,4,4,22.4366345,,,,,,,,22.4222273,22.4366345,22.4366345,22.4366345,0.0048952,30.3005722,pastry,[-0.03125],[-0.2942708333333333],[1],[0],[0],[7.877331300000151],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,5,5,0,,,T_hi_t,Tshirt,old,table,[-0.03125],[-0.2942708333333333],[1],[0],[0],[6.459886899999674],['text_3'],,,,,0,5,5,2,30.3199654,,,,,,,,30.3054223,30.3199654,30.3199654,30.3199654,0.0046699,36.7663101,table,[-0.03125],[-0.2942708333333333],[1],[0],[0],[6.459886899999674],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,6,6,0,,,p_nc_l,Pencil,new,poster,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.1943504999999277],['text_3'],,,,,0,6,6,16,36.7846795,,,,,,,,36.771128,36.7846795,36.7846795,36.7846795,0.0046157,39.9665424,poster,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.1943504999999277],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,7,7,0,,,bo_t_e,Bottle,new,bottle,[-0.03125],[-0.2942708333333333],[1],[0],[0],[4.19405740000002],['text_3'],,,,,0,7,7,18,39.9844441,,,,,,,,39.9711898,39.9844441,39.9844441,39.9844441,0.0044668,44.1662748,bottle,[-0.03125],[-0.2942708333333333],[1],[0],[0],[4.19405740000002],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,8,8,0,,,K_y_,Keys,old,keys,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.328014200000325],['text_3'],,,,,0,8,8,8,44.1843082,,,,,,,,44.1705019,44.1843082,44.1843082,44.1843082,0.0040508,46.4995871,keys,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.328014200000325],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,9,9,0,,,v_s_,Vase,new,vise,[-0.03125],[-0.2942708333333333],[1],[0],[0],[5.623944199999642],['text_3'],,,,,0,9,9,17,46.5205774,,,,,,,,46.5071087,46.5205774,46.5205774,46.5205774,0.00713,52.1320964,vise,[-0.03125],[-0.2942708333333333],[1],[0],[0],[5.623944199999642],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,10,10,0,,,_a_bl_,Marble,old,bottle,[-0.03125],[-0.2942708333333333],[1],[0],[0],[4.594299899999896],['text_3'],,,,,0,10,10,11,52.1516985,,,,,,,,52.1372303,52.1516985,52.1516985,52.1516985,0.0049466,56.732594,bottle,[-0.03125],[-0.2942708333333333],[1],[0],[0],[4.594299899999896],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,11,11,0,,,_oo_,Book ,old,book,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.27786100000003],['text_3'],,,,,0,11,11,13,56.7502581,,,,,,,,56.7367584,56.7502581,56.7502581,56.7502581,0.0039738,59.0156916,book,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.27786100000003],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,12,12,0,,,c_s_,Case,old,case,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.8442770999999993],['text_3'],,,,,0,12,12,5,59.0335621,,,,,,,,59.0197763,59.0335621,59.0335621,59.0335621,0.0039069,62.8651055,case,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.8442770999999993],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,13,13,0,,,_ha_,Chart,old,,[],[],[],[],[],[],[],,,,,0,13,13,1,62.8829611,,,,,,,,62.8693212,62.8829611,62.8829611,62.8829611,0.0040362,72.8790848,,[],[],[],[],[],[],[],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,14,14,0,,,P_li_e,Police,old,pile,[-0.03125],[-0.2942708333333333],[1],[0],[0],[5.562944300000254],['text_3'],,,,,0,14,14,7,72.8965849,,,,,,,,72.8835313,72.8965849,72.8965849,72.8965849,0.0182489,78.447599,pile,[-0.03125],[-0.2942708333333333],[1],[0],[0],[5.562944300000254],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,15,15,0,,,_ou_se,mouse,old,house,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.64418569999998],['text_3'],,,,,0,15,15,3,78.4673531,,,,,,,,78.4521353,78.4673531,78.4673531,78.4673531,0.004346,82.0973704,house,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.64418569999998],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,16,16,0,,,c_m_ra,Camera,new,camera,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.8098399999998946],['text_3'],,,,,0,16,16,19,82.1169468,,,,,,,,82.1021589,82.1169468,82.1169468,82.1169468,0.0045977,84.9130857,camera,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.8098399999998946],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,17,17,0,,,_ho_e,Phone,old,phone,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.911296499999935],['text_3'],,,,,0,17,17,12,84.9294817,,,,,,,,84.9174634,84.9294817,84.9294817,84.9294817,0.0042031,87.8298675,phone,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.911296499999935],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,18,18,0,,,c_s_io,Cushion,old,cushion,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.960408400000233],['text_3'],,,,,0,18,18,14,87.8477758,,,,,,,,87.8345893,87.8477758,87.8477758,87.8477758,0.0045621,90.7961156,cushion,[-0.03125],[-0.2942708333333333],[1],[0],[0],[2.960408400000233],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,19,19,0,,,l_pt_p,Laptop,old,laptop,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.343810100000155],['text_3'],,,,,0,19,19,0,90.8131697,,,,,,,,90.8009052,90.8131697,90.8131697,90.8131697,0.0046162,94.1458306,laptop,[-0.03125],[-0.2942708333333333],[1],[0],[0],[3.343810100000155],['text_3'],874222,1,2024-11-06_22h23.41.428,Word priming,2024.2.4,60.03907343,2024-11-06 22h23.46.952508 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,old,8,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,new,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,priming,-0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
